Sample Name, Sample-2
Time, April 01 12:01:44 2022
Operator, Kolloid
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 200.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
1040.0, 1.3089, 4.91
1041.0, 1.3026, 4.98
1042.0, 1.2971, 5.05
1043.0, 1.2961, 5.06
1044.0, 1.2990, 5.02
1045.0, 1.2954, 5.07
1046.0, 1.2947, 5.07
1047.0, 1.2952, 5.07
1048.0, 1.2924, 5.10
1049.0, 1.2918, 5.11
1050.0, 1.2923, 5.10
1051.0, 1.2932, 5.09
1052.0, 1.2882, 5.15
1053.0, 1.2874, 5.16
1054.0, 1.2889, 5.14
1055.0, 1.2884, 5.15
1056.0, 1.2865, 5.17
1057.0, 1.2887, 5.14
1058.0, 1.2868, 5.17
1059.0, 1.2878, 5.15
1060.0, 1.2837, 5.20
1061.0, 1.2810, 5.24
1062.0, 1.2880, 5.15
1063.0, 1.2885, 5.15
1064.0, 1.2870, 5.16
1065.0, 1.2794, 5.26
1066.0, 1.2784, 5.27
1067.0, 1.2804, 5.24
1068.0, 1.2790, 5.26
1069.0, 1.2820, 5.22
1070.0, 1.2775, 5.28
1071.0, 1.2763, 5.29
1072.0, 1.2764, 5.29
1073.0, 1.2747, 5.31
1074.0, 1.2782, 5.27
1075.0, 1.2804, 5.24
1076.0, 1.2765, 5.29
1077.0, 1.2780, 5.27
1078.0, 1.2808, 5.24
1079.0, 1.2782, 5.27
1080.0, 1.2794, 5.26
1081.0, 1.2851, 5.19
1082.0, 1.2821, 5.22
1083.0, 1.2779, 5.27
1084.0, 1.2822, 5.22
1085.0, 1.2840, 5.20
1086.0, 1.2842, 5.20
